lat_bin,lon_bin,zone_count,zone_avg_mag,zone_max_mag,zone_std_mag,zone_avg_depth,zone_avg_plate,zone_rate
-46.0,-16.0,1,6.0,6.0,0.0,10.0,0.9384967329613444,0.019230769230769232
-46.0,-14.0,3,5.666666666666667,5.8,0.15275252316519475,13.806666666666667,0.9483045714159445,0.057692307692307696
-46.0,-12.0,1,6.0,6.0,0.0,10.0,0.8863420338878945,0.019230769230769232
-46.0,34.0,5,5.92,6.3,0.3033150177620619,10.0,0.9619256504974516,0.09615384615384616
-46.0,36.0,7,6.0,6.4,0.23804761428476193,17.428571428571427,0.9387703424598596,0.1346153846153846
-46.0,38.0,2,5.95,6.0,0.0707106781186545,10.0,0.7492500635515414,0.038461538461538464
-46.0,74.0,1,5.5,5.5,0.0,33.0,0.22773098341601872,0.019230769230769232
-46.0,80.0,1,5.5,5.5,0.0,33.0,0.4711202111376382,0.019230769230769232
-46.0,96.0,20,5.904999999999999,6.5,0.3440853627257417,11.0435,0.9371693907708709,0.38461538461538464
-46.0,164.0,1,7.1,7.1,0.0,10.0,0.9519068149420965,0.019230769230769232
-46.0,166.0,17,6.105882352941176,7.8,0.6914392491709721,21.730588235294118,0.9410130588725522,0.3269230769230769
-46.0,168.0,9,6.066666666666666,7.2,0.5937171043518958,44.65555555555555,0.9338207842612073,0.17307692307692307
-44.0,-118.0,1,5.9,5.9,0.0,10.0,0.36993847847068534,0.019230769230769232
-44.0,-82.0,2,5.55,5.6,0.0707106781186545,10.0,0.9537335408333623,0.038461538461538464
-44.0,-80.0,17,5.970588235294118,6.4,0.311778579047601,12.705882352941176,0.9467901128565659,0.3269230769230769
-44.0,-78.0,4,5.7749999999999995,6.3,0.34999999999999987,13.9,0.95484559946989,0.07692307692307693
-44.0,-76.0,6,5.783333333333334,5.9,0.1471960144387979,24.0,0.9496582610654919,0.11538461538461539
-44.0,-74.0,2,6.6,7.6,1.4142135623730951,26.465,0.7536358914163285,0.038461538461538464
-44.0,-16.0,3,5.599999999999999,5.6,0.0,9.066666666666666,0.9788140318919516,0.057692307692307696
-44.0,36.0,3,5.7,5.8,0.09999999999999987,16.7,0.9634037599264812,0.057692307692307696
-44.0,38.0,2,6.1,6.7,0.8485281374238568,10.0,0.9181224613873524,0.038461538461538464
-44.0,40.0,5,5.659999999999999,6.1,0.2509980079602227,10.0,0.9585500866519592,0.09615384615384616
-44.0,42.0,4,5.9,6.3,0.40824829046386324,10.0,0.9741035768259341,0.07692307692307693
-44.0,78.0,2,5.9,6.1,0.28284271247461834,10.0,0.6041548217171299,0.038461538461538464
-44.0,92.0,1,5.9,5.9,0.0,10.0,0.9591508608344512,0.019230769230769232
-44.0,94.0,1,5.6,5.6,0.0,10.0,0.9382666145794429,0.019230769230769232
-44.0,118.0,1,5.5,5.5,0.0,10.0,0.3936902630268664,0.019230769230769232
-44.0,166.0,1,5.5,5.5,0.0,22.0,0.985486622903674,0.019230769230769232
-44.0,168.0,6,6.116666666666666,6.8,0.4833908011812665,20.833333333333332,0.9547176687580264,0.11538461538461539
-44.0,170.0,1,6.1,6.1,0.0,5.6,0.9131181870501105,0.019230769230769232
-44.0,172.0,12,5.8500000000000005,7.0,0.41669696859512134,8.4075,0.8466420103636896,0.23076923076923078
-42.0,-100.0,1,5.5,5.5,0.0,10.0,0.2763331233269068,0.019230769230769232
-42.0,-92.0,1,5.5,5.5,0.0,10.0,0.9926858983256923,0.019230769230769232
-42.0,-90.0,5,5.64,5.8,0.11401754250991385,9.4,0.9609809708505488,0.09615384615384616
-42.0,-88.0,4,5.6,5.7,0.11547005383792547,10.0,0.9722977399513354,0.07692307692307693
-42.0,-86.0,10,5.59,5.9,0.12866839377079223,9.620000000000001,0.8559283383299828,0.19230769230769232
-42.0,-84.0,5,5.62,5.9,0.17888543819998337,10.0,0.9541428404926833,0.09615384615384616
-42.0,-82.0,2,5.55,5.6,0.0707106781186545,10.065000000000001,0.9409693296416071,0.038461538461538464
-42.0,-76.0,5,5.9399999999999995,6.1,0.15165750888103058,21.66,0.9473142590109589,0.09615384615384616
-42.0,-74.0,2,5.6,5.7,0.1414213562373093,37.45,0.6999644188533585,0.038461538461538464
-42.0,-72.0,2,5.75,6.0,0.3535533905932738,156.75,0.4719614765326573,0.038461538461538464
